학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,1학기,대학,화공생명공학과,CBE3304,02,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,김충익,14,,,,,,,,,,"3,4학년",3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,03,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,김정욱,17,,,,,,,,,,"3,4학년",3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,04,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,하경수,7,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,05,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,강문성,6,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,06,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,김형준,16,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,07,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,나정걸,13,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,08,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,류재건,10,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE4001,01,화공생명공학심화종합설계Ⅱ(캡스톤디자인),,3.0,월 13:30~16:15 [K307],3.0,최정우,17,,,,,,,,,,전학년,4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE4011,01,전기화학,조회,3.0,금 10:30~13:15 [K401],3.0,박흥목,76,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,화공생명공학과,CBE4013,01,생물화학공학,조회,3.0,"화,목 15:00~16:15 [AS412]",3.0,최정우,51,,,,,"[1,3,5,7,9]",,,,,전학년,3학년,,선수과목 : CBE2002 창의설계,홀수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE4013,02,생물화학공학,조회,3.0,"수,금 15:00~16:15 [AS301]",3.0,김현철,50,,,,,"[2,4,6,8,0]",,,,,전학년,3학년,,선수과목 : CBE2002 창의설계,짝수 학번만 수강
